Рік,Номер,Автор,Назва,Напрям,Жанр,Стан,Рівень,Вид,Дата початку,Дата закінчення,Цикл,Нотатки,,
2023,12,Ґібсон,Нейромант,Художня,НФ,Куплено/В бібліотеці,Прочитано,Фізична,14.04.2023,19.04.2023,Кіберпанкова трилогія,,,
2023,13,Джадт,Після війни,Non-fiction,Історія,Куплено/В бібліотеці,Прочитано,Фізична/електронна,26.12.2022,06.05.2023,,Стратегічна книга,,
2023,14,Ґібсон,Занулення,Художня,НФ,Куплено/В бібліотеці,Прочитано,Фізична,06.05.2023,13.05.2023,Кіберпанкова трилогія,,,
2023,15,Маккінні,Python for data wrangling,Non-fiction,IT,На хмарі,Прочитано,Електронна,06.04.2023,26.05.2023,,,,
2023,16,Пратчетт,Варта! Варта!,Художня,Фентезі,Куплено/На хмарі,Прочитано,Електронна,09.06.2023,10.06.2023,,,,
2023,17,Ґібсон,Мона Ліза Стрімголов,Художня,НФ,Куплено/В бібліотеці,Прочитано,Фізична,22.05.2023,17.06.2023,Кіберпанкова трилогія,,,
2023,18,Гейман,Sandman 4,Художня,Комікс,Куплено/В бібліотеці,Прочитано,Фізична,10.07.2023,10.07.2023,,,,
2023,19,Illowsky,Статистика для вищої школи,Non-fiction,Математика,На хмарі,Прочитано,Електронна,24.05.2023,24.07.2023,,,,
2023,20,Гейман,Sandman 5,Художня,Пригоди,Куплено/В бібліотеці,Прочитано,Фізична,26.07.2023,27.07.2023,,,,
,,,,,,,,,,,,,,
2023,22,Гусерль,Досвід і судження,Non-fiction,Феноменологія,Куплено/В бібліотеці,В процесі,Фізична/електронна,19.03.2023,,,,,
2023,23,Chandler,Semiotics : the basic,Non-fiction,Семіотика,На хмарі,В процесі,Електронна,18.06.2023,,,,,
2023,24,Веґнер,Оповістки з Меекханського прикордоння. Книга 2. Захід -схід,Художня,Фентезі,Куплено/В бібліотеці,В процесі,Фізична,18.06.2023,,Меекхан,,,
2023,25,Shapiro,Principles of microeconomics,Non-fiction,Економіка,На хмарі,В процесі,Фізична,23.06.2023,,,Стратегічна книга,,
,26,Пратчетт,Поштова лихоманка,Художня,Фентезі,Куплено/На хмарі,В процесі,Електронна,01.07.0203,,,,,
,,,,,,,,,,,,,,
2023,28,Лакс,Метафізика,Non-fiction,Філософія,Куплено/В бібліотеці,Прочитати,Фізична,,,,Стратегічна книга,,
2023,29,МакТаґарт,Природа існування,Non-fiction,Філософія,Куплено/В бібліотеці,Прочитати,Фізична,,,"""Філософія""",,,
2023,30,Конерлі,Introduction to Sociology,Non-fiction,Соціологія,На хмарі,Прочитати,Фізична,,,,Стратегічна книга,,
2023,31,Гасті,Introduction to anthropology,Non-fiction,Антропологія,На хмарі,Прочитати,Фізична,,,,,,
2023,32,Сапольські,Чому зебри не страждають на виразку,Non-fiction,Біологія,Куплено/На хмарі,Прочитати,Електронна,,,,,,
2023,33,Eagar,Data Engineering with AWS,Non-fiction,IT,Куплено/На хмарі,Прочитати,Електронна,,,,,,
2023,34,Стівенсон,Снігопад,Художня,НФ,Куплено/В бібліотеці,Прочитати,Фізична,,,Ad Astra,,,
2023,35,Сіммонс,Терор,Художня,НФ,Куплено/В бібліотеці,Прочитати,Фізична,,,Ad Astra,,,
2023,36,Гейман,Sandman 6,Художня,Комікс,Куплено/В бібліотеці,Прочитати,Фізична,,,,,,
2023,37,Дік,Коротка проза. Т.1,Художня,НФ,Куплено/В бібліотеці,Прочитати,Фізична,,,Ad Astra,,,
